country_or_area;year;comm_code;commodity;flow;trade_usd;weight_kg;quantity_name;quantity;category
Albania;1998;010511;Fowls, live domestic < 185 grams;Import;424415;0;Number of items;472806;01_live_animals
Albania;1998;010519;Poultry, live except domestic fowls, < 185 grams;Import;50642;0;Number of items;32808;01_live_animals
Albania;1998;010591;Fowls, live domestic > 185 grams;Import;995860;0;Number of items;1271665;01_live_animals
Albania;1998;010599;Poultry, live except domestic fowls, > 185 grams;Import;63595;0;Number of items;54764;01_live_animals
Albania;1997;010111;Horses, live pure-bred breeding;Export;14538;0;Number of items;12000;01_live_animals
Albania;1997;010210;Bovine animals, live pure-bred breeding;Import;8359;0;Number of items;3;01_live_animals
Albania;1997;010511;Fowls, live domestic < 185 grams;Import;446192;0;Number of items;422122;01_live_animals
Albania;1997;010519;Poultry, live except domestic fowls, < 185 grams;Import;104880;0;Number of items;248530;01_live_animals
Albania;1997;010519;Poultry, live except domestic fowls, < 185 grams;Export;10612;0;Number of items;35000;01_live_animals
Albania;1997;010591;Fowls, live domestic > 185 grams;Import;113191;0;Number of items;102122;01_live_animals
Albania;1997;010600;Animals, live, except farm animals;Import;632;0;Number of items;42;01_live_animals
Albania;1997;010600;Animals, live, except farm animals;Export;34767;0;Number of items;6090;01_live_animals
Albania;1996;010111;Horses, live pure-bred breeding;Import;31109;0;Number of items;47500;01_live_animals
Albania;1996;010120;Asses, mules and hinnies, live;Export;6290;0;Number of items;341;01_live_animals
Albania;1996;010210;Bovine animals, live pure-bred breeding;Import;306316;0;Number of items;231;01_live_animals
Albania;1996;010391;Swine, live except pure-bred breeding < 50 kg;Import;5004;0;Number of items;82;01_live_animals
Albania;1996;010511;Fowls, live domestic < 185 grams;Import;717012;0;Number of items;822769;01_live_animals
Albania;1996;010519;Poultry, live except domestic fowls, < 185 grams;Import;4537;0;Number of items;6720;01_live_animals
Albania;1996;010591;Fowls, live domestic > 185 grams;Import;367108;0;Number of items;352926;01_live_animals
Albania;1996;010599;Poultry, live except domestic fowls, > 185 grams;Import;22788;0;Number of items;6804;01_live_animals
Albania;1996;010600;Animals, live, except farm animals;Import;170;0;Number of items;100;01_live_animals
Albania;1996;010600;Animals, live, except farm animals;Export;34766;0;Number of items;26157;01_live_animals
Algeria;2016;010111;Horses, live pure-bred breeding;Import;978230;84260;No Quantity;;01_live_animals
